player,ball lands,ball hit from,stroke type,ball hit to,in/out,forced/unforced,double fault,end of point,end of game,end of set,end of match
F,Z7,Z12,FT,Z10,in,,,,,,
N,Z10,Z13,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z10,in,,,,,,
N,Z10,Z14,FT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z7,in,,,,,,
F,Z7,Z11,FT,Z10,in,,,,,,
N,Z10,Z13,FT,Z5,in,,,,,,
F,Z5,Z14,BS,Z6,in,,,,,,
N,Z6,Z6,FT,Z10,wide,,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z8,in,,,,,,
N,Z8,Z12,FT,Z7,in,,,,,,
F,Z7,,,,no hit,forced,,yes,,,
N,,Z13,S,Z3,wide,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,,net,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z10,in,,,,,,
N,Z10,Z13,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z3,in,,,,,,
N,Z3,Z8,BS,Z9,in,,,,,,
F,Z9,Z14,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z9,in,,,,,,
F,Z9,Z13,BT,Z9,in,,,,,,
N,Z9,Z13,FT,Z10,in,,,,,,
F,Z10,Z14,BT,Z10,in,,,,,,
N,Z10,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BT,,net,unforced,,yes,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,,,,no hit,forced,,yes,yes,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BS,Z8,in,,,,,,
F,Z8,Z12,FT,Z10,wide,unforced,,yes,,,
F,,Z13,S,Z10,long,,,,,,
F,,Z13,S,Z4,let,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z14,in,,,,,,
F,Z14,Z14,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z5,in,,,,,,
F,Z5,Z13,BS,Z8,in,,,,,,
N,Z8,Z12,FT,Z10,in,,,,,,
F,Z10,Z13,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z12,in,,,,,,
F,Z12,Z12,FT,,net,unforced,,yes,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z4,in,,,,,,
F,Z4,Z13,FT,Z10,wide,unforced,,yes,,,
F,,Z13,S,Z4,let,,,,,,
F,,Z13,S,,net,,,,,,
F,,Z13,S,Z4,net,,,,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z13,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z9,in,,,,,,
F,Z9,Z13,FT,Z8,in,,,,,,
N,Z8,Z12,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z10,in,,,,,,
F,Z10,Z13,BS,,net,unforced,,yes,yes,,
N,,Z12,S,Z1,in,,,,,,
F,Z1,Z11,FT,,net,forced,,yes,,,
N,,Z13,S,Z3,wide,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z7,wide,forced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z8,in,,,,,,
N,Z8,Z11,FT,Z7,wide,unforced,,yes,,,
N,,Z13,S,,net,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z16,in,,,,,,
F,Z16,Z16,BV,,net,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BL,Z9,in,,,,,,
N,Z9,Z12,FT,Z10,in,,,,,,
F,Z10,Z14,BT,Z12,in,,,,,,
N,Z12,Z12,FT,Z12,in,,,,,,
F,Z12,Z12,FT,,long,unforced,,yes,yes,,
F,,Z12,S,Z1,wide,,,,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z2,in,,,,,,
F,Z2,Z12,FT,Z7,in,,,,,,
N,Z7,,,,no hit,forced,,yes,,,
F,,Z13,S,,net,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z16,in,,,,,,
F,Z16,Z16,FV,,net,unforced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,Z4,in,,,,,,
F,Z4,Z9,FT,Z13,in,,,,,,
N,Z13,,,,no hit,forced,,yes,,,
F,,Z13,S,Z6,let,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z5,in,,,,,,
F,Z5,Z13,BT,Z7,in,,,,,,
