Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
N,Z5,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z13,FT,Z8,In,,,,,,
F,Z8,Z9,FT,Z7,In,,,,,,
N,Z7,Z11,BT,,Net,Unforced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z4,In,,,,,,
N,Z4,Z8,FT,Z7,In,,,,,,
F,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z14,BS,Z16,In,,,,,,
N,Z16,Z2,BV,Z2,In,,,,,,
F,Z2,Z11,FT,Z10,Wide,Unforced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
F,Z2,Z12,FT,Z12,Long,Unforced,,Yes,,,
N,,Z13,S,Z6,Wide,,,,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,,Net,Unforced,,Yes,Yes,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z4,In,,,,,,
F,Z4,Z9,FT,Z7,In,,,,,,
N,Z7,Z11,BL,Z3,In,,,,,,
F,Z3,Z8,FT,Z9,In,,,,,,
N,Z9,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,BT,Z13,Long,Unforced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z10,In,,,,,,
F,Z10,Z14,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z2,In,,,,,,
F,Z2,Z11,FT,Z2,In,,,,,,
N,Z2,Z11,BS,Z9,In,,,,,,
F,Z9,Z9,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z10,In,,,,,,
F,Z10,Z14,BT,Z11,Long,Unforced,,Yes,,,
F,,Z13,S,Z6,Let,,,,,,
F,,Z13,S,Z6,Wide,,,,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z7,Wide,Unforced,,Yes,,,
F,,Z12,S,,Net,,,,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z4,In,,,,,,
F,Z4,Z13,FT,Z2,In,,,,,,
N,Z2,Z12,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,Wide,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BL,Z9,In,,,,,,
