"","Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num"
"232","F","1","FT","BS","Z3","Z4","Z5","Z5","Z5","Z3","In",375,63
"233","DP","0","FT","FT","Z4","Z5","Z5","Z3","Z3","Z3","In",376,63
"234","F","1","FL","FT","Z5","Z5","Z3","Z3","Z3","Z5","In",377,63
"235","DP","0","BL","FL","Z5","Z3","Z3","Z5","Z5","Z4","In",378,63
"236","F","1","FO","BL","Z3","Z3","Z5","Z4","Z4","Z3","In",379,63
"237","DP","0","FT","FO","Z3","Z5","Z4","Z3","Z3","Z5","In",380,63
"238","F","1","FT","FT",NA,NA,"Z4","Z5","Z5","Z2","In",383,64
"239","DP","0","FT","FT",NA,"Z4","Z5","Z2","Z3","Z2","In",384,64
"240","F","1","FT","FT","Z4","Z5","Z2","Z2","Z2","Z2","In",385,64
"241","DP","0","FT","FT","Z5","Z2","Z2","Z2","Z2","Z4","In",386,64
"242","F","1","BS","FT","Z2","Z2","Z2","Z4","Z4","Z4","In",387,64
"243","F","1","FT","BS",NA,NA,"Z3","Z3","Z4","Z5","In",391,65
"244","DP","0","BT","FT",NA,"Z3","Z3","Z5","Z5","Z4","In",392,65
"245","F","1","FV","BT","Z3","Z3","Z5","Z4","Z4","Z4","Long",393,65
"246","F","1","FT","BT",NA,NA,"Z5","Z4","Z4","Z2","Wide",396,66
"247","F","1","FT","BT",NA,NA,"Z2","Z2","Z2","Z5","In",399,67
"248","F","1","FT","BT",NA,NA,"Z5","Z4","Z4","Z5","In",403,68
"249","DP","0","BS","FT",NA,"Z5","Z4","Z5","Z5","Z4","Long",404,68
"250","F","1","BS","BT",NA,NA,"Z3","Z5","Z5","Z4","In",407,69
"251","F","1","BS","FT",NA,NA,"Z4","Z5","Z5","Z5","In",411,70
"252","DP","0","BT","BS",NA,"Z4","Z5","Z5","Z5","Z2","In",412,70
"253","F","1","FT","BT","Z4","Z5","Z5","Z2","Z2","Z5","In",413,70
"254","DP","0","BT","FT","Z5","Z5","Z2","Z5","Z4","Z5","In",414,70
"255","F","1","FT","BS",NA,NA,"Z2","Z3","Z3","Z5","Long",418,71
"256","F","1","FT","BT",NA,NA,"Z5","Z4","Z4","Z5","In",421,72
"257","DP","0","BT","FT",NA,"Z5","Z4","Z5","Z5","Z4","In",422,72
"258","F","1","FT","BT","Z5","Z4","Z5","Z4","Z5","Z2","In",423,72
"259","F","1","FT","BS",NA,NA,"Z3","Z4","Z4","Z5","In",426,73
"260","DP","0","BT","FT",NA,"Z3","Z4","Z5","Z5","Z3","In",427,73
"261","F","1","FT","BT","Z3","Z4","Z5","Z3","Z3","Z3","In",428,73
"262","DP","0","FT","FT","Z4","Z5","Z3","Z3","Z3","Z5","In",429,73
"263","F","1","BS","FT","Z5","Z3","Z3","Z5","Z4","Z5","In",430,73
"264","DP","0","FT","BS","Z3","Z3","Z5","Z5","Z5","Z5","In",431,73
"265","F","1","BS","FT","Z3","Z5","Z5","Z5","Z5","Z4","In",432,73
"266","F","1","FT","FS",NA,NA,"Z1","Z4","Z4","Z4","In",436,74
"267","DP","0","FT","FT",NA,"Z1","Z4","Z4","Z4","Z4","In",437,74
"268","F","1","FT","FT","Z1","Z4","Z4","Z4","Z4","Z3","In",438,74
"269","DP","0","FT","FT","Z4","Z4","Z4","Z3","Z3","Z3","In",439,74
"270","F","1","FT","FT","Z4","Z4","Z3","Z3","Z3","Z3","In",440,74
"271","DP","0","FT","FT","Z4","Z3","Z3","Z3","Z2","Z2","Long",441,74
"272","DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z5","In",446,76
"273","F","0","BS","FT",NA,"Z5","Z4","Z5","Z5","Z4","In",447,76
"274","DP","1","BT","FT",NA,NA,"Z3","Z3","Z3","Z4","In",453,78
"275","F","0","BS","BT",NA,"Z3","Z3","Z4","Z4","Z5","In",454,78
"276","DP","1","FT","BS",NA,NA,"Z5","Z3","Z3","Z3","In",458,79
"277","F","0","FT","FT",NA,"Z5","Z3","Z3","Z3","Z5","In",459,79
"278","DP","1","BT","FT","Z5","Z3","Z3","Z5","Z5","Z5","In",460,79
"279","F","0","BL","BT","Z3","Z3","Z5","Z5","Z5","Z2","In",461,79
"280","DP","1","FT","BL","Z3","Z5","Z5","Z2","Z2","Z3","In",462,79
"281","F","0","FT","FT","Z5","Z5","Z2","Z3","Z3","Z2","In",463,79
"282","DP","1","FT","FT","Z5","Z2","Z3","Z2","Z2","Z3","In",464,79
"283","F","0","FT","FT","Z2","Z3","Z2","Z3","Z3","Z5","In",465,79
"284","DP","1","BT","FT","Z3","Z2","Z3","Z5","Z5","Z4","In",466,79
"285","F","0","FT","BT","Z2","Z3","Z5","Z4","Z4","Z5","In",467,79
"286","DP","1","BT","FT","Z3","Z5","Z4","Z5","Z5","Z5","In",468,79
"287","F","0","BS","BT","Z5","Z4","Z5","Z5","Z5","Z3","In",469,79
"288","DP","1","FT","BS","Z4","Z5","Z5","Z3","Z3","Z2","Long",470,79
"289","DP","1","FT","BS",NA,NA,"Z5","Z5","Z5","Z5","In",476,81
"290","DP","1","BT","FS",NA,NA,"Z2","Z6","Z5","Z5","Long",479,82
"291","DP","1","FT","BS",NA,NA,"Z5","Z5","Z5","Z5","In",482,83
"292","F","0","BS","FT",NA,"Z5","Z5","Z5","Z5","Z3","In",483,83
"293","DP","1","FT","BS","Z5","Z5","Z5","Z3","Z3","Z2","In",484,83
"294","F","0","FT","FT","Z5","Z5","Z3","Z2","Z2","Z3","In",485,83
"295","DP","1","FT","FT","Z5","Z3","Z2","Z3","Z3","Z4","In",486,83
"296","F","0","BS","FT","Z3","Z2","Z3","Z4","Z4","Z5","In",487,83
"297","DP","1","BT","BS","Z2","Z3","Z4","Z5","Z5","Z4","In",488,83
"298","DP","1","BT","BS",NA,NA,"Z3","Z5","Z5","Z5","In",492,84
"299","F","0","BS","BT",NA,"Z3","Z5","Z5","Z5","Z2","In",493,84
"300","DP","1","FT","BS","Z3","Z5","Z5","Z2","Z3","Z2","In",494,84
"301","F","0","FL","FT","Z5","Z5","Z2","Z2","Z2","Z3","Long",495,84
"302","DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z5","In",498,85
"303","F","0","BS","FT",NA,"Z5","Z4","Z5","Z5","Z4","In",499,85
"304","DP","1","FT","BS","Z5","Z4","Z5","Z4","Z4","Z4","In",500,85
"305","F","0","BS","FT","Z4","Z5","Z4","Z4","Z4","Z5","In",501,85
"306","DP","1","BT","BS","Z5","Z4","Z4","Z5","Z5","Z5","In",502,85
"307","F","0","BT","BT","Z4","Z4","Z5","Z5","Z5","Z2","In",503,85
"308","DP","1","FT","BT","Z4","Z5","Z5","Z2","Z2","Z2","In",504,85
"309","F","0","FT","FT","Z5","Z5","Z2","Z2","Z2","Z4","In",505,85
"310","DP","1","FT","FT","Z5","Z2","Z2","Z4","Z4","Z4","In",506,85
"311","F","0","BS","FT","Z2","Z2","Z4","Z4","Z4","Z4","In",507,85
"312","DP","1","BT","BS","Z2","Z4","Z4","Z4","Z4","Z5","In",508,85
"313","F","0","BS","BT","Z4","Z4","Z4","Z5","Z5","Z5","In",509,85
"314","DP","1","BS","BS","Z4","Z4","Z5","Z5","Z5","Z5","In",510,85
"315","F","0","FT","BS","Z4","Z5","Z5","Z5","Z5","Z2","In",511,85
"316","DP","1","FT","BS",NA,NA,"Z3","Z2","Z2","Z2","In",514,86
"317","DP","1","FT","BS",NA,NA,"Z5","Z5","Z5","Z4","In",517,87
"318","F","0","BL","FT",NA,"Z5","Z5","Z4","Z4","Z2","Long",518,87
"319","F","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z5","In",521,88
"320","DP","0","BS","FT",NA,"Z2","Z3","Z5","Z5","Z6","In",522,88
